,Year,PMN,MWL,MPS,KSU,LCU,FCU,PT9,PT2,LGU,RRT,HLC,BIG,LPK,rainfall,temp,avg_ring_width,rainfall_lag1,scaled_temp,scaled_rainfall,scaled_rainfall_lag1
1,1899,-0.024,0.208,0.248,0.15,0.494,0.605,0.353,0.55,0.471,0.524,-0.013,0.015,0.769,3.6,55.9,0.3346153846153846,4.89,-0.284390998566468,-0.5439022732246763,-0.09838801309603712
2,1944,1.683,1.254,1.313,1.607,1.606,1.048,1.179,1.306,1.177,1.009,2.278,1.513,0.924,3.49,55.1,1.3766923076923077,3.6,-1.0913329452378109,-0.5825468054211367,-0.5528026653267634
3,1945,1.395,1.172,1.433,1.786,1.73,1.123,1.344,1.185,1.067,1.006,1.31,1.392,0.912,13.05,55.4,1.2965384615384616,3.49,-0.7887297152360591,2.776014356380329,-0.591551201563492
4,1947,1.102,1.292,1.24,1.369,1.141,1.223,0.936,1.099,0.768,0.961,1.443,1.381,0.956,0.8,55.8,1.147,13.05,-0.38525874190038767,-1.5275812745891224,2.776048856828558
5,1948,0.535,0.759,0.852,0.69,0.506,0.83,0.715,0.838,0.534,0.609,0.378,1.075,0.768,1.96,54.8,0.6991538461538462,0.8,-1.3939361752395698,-1.1200571168809947,-1.5391290422616735
6,1949,0.433,0.482,0.755,0.627,0.679,0.571,0.51,0.839,0.425,0.504,0.19,0.768,0.873,4.08,55.5,0.588923076923077,1.96,-0.6878619719021395,-0.37527158727648563,-1.1305081146743536
7,1950,0.358,0.66,0.918,0.629,0.379,0.675,0.64,0.945,0.475,0.726,0.247,0.604,0.706,5.25,57.9,0.6124615384615384,4.08,1.7329638681118964,0.03576570972222924,-0.3837181435664931
8,1951,0.113,0.273,0.455,0.434,0.59,0.642,0.278,0.429,-0.013,0.366,-0.013,-0.03,0.717,6.43,56.8,0.32623076923076927,5.25,0.6234186914387945,0.45031614601153136,0.02842537822416572
9,1952,0.499,0.625,0.957,0.878,0.694,0.743,0.676,0.834,0.242,0.78,0.328,0.82,0.88,10.1,54.8,0.688923076923077,6.43,-1.3939361752395698,1.739638265657073,0.4440914942181634
10,1953,0.473,0.526,0.843,0.785,0.656,0.821,0.778,1.065,0.341,0.715,0.487,0.821,0.725,2.58,56.2,0.695076923076923,10.1,0.018212231435290948,-0.9022424808645817,1.7368835668435634
11,1954,0.583,0.728,0.885,1.065,0.75,0.956,0.955,1.016,0.516,0.757,0.625,0.975,0.963,7.19,56.7,0.8287692307692307,2.58,0.522550948104882,0.7173147320961669,-0.9121072740673378
12,1955,0.639,0.892,1.234,0.781,0.372,0.944,0.954,0.724,0.558,0.899,0.638,1.277,0.701,7.8,54.1,0.8163846153846154,7.19,-2.100010378576993,0.9316162288219925,0.7118086536719249
13,1956,0.866,0.996,1.129,0.721,0.444,0.912,1.184,0.917,0.605,0.99,0.602,1.037,0.578,4.61,55.9,0.8446923076923079,7.8,-0.284390998566468,-0.18907520487535828,0.9266869000756016
14,1957,0.971,0.973,0.946,0.913,0.66,0.978,0.934,0.854,0.76,1.117,0.609,1.036,0.819,6.69,55.7,0.89,4.61,-0.48612648523430013,0.5416577675668016,-0.1970206507895279
15,1958,1.367,0.968,1.345,1.584,0.731,1.529,1.33,1.151,1.263,1.221,1.041,1.338,1.131,4.76,57.1,1.2306923076923075,6.69,0.9260219214405535,-0.13637811551654888,0.5356789435049767
