,Year,SBT,GFS,GFE,GFN,CTN,CTS,LCM,temp,rainfall,rainfall_lag1,avg_ring_width,scaled_temp,scaled_rainfall,scaled_rainfall_lag1
1,1879,0.812,0.787,0.875,0.921,0.908,0.918,1.372,61.9,17.41,20.86,0.941857142857143,-1.3187279593827181,0.4081229743438208,0.8958792214767842
2,1880,0.922,0.874,1.023,0.97,0.996,1.039,0.943,59.9,18.65,17.41,0.9667142857142856,-2.3470057979470744,0.5883156549437282,0.39412868347436475
3,1881,0.788,0.815,1.028,0.877,1.021,1.14,1.113,62.4,5.53,18.65,0.9688571428571429,-1.061658499741629,-1.3182391591456166,0.5744680072781326
4,1882,0.965,0.873,1.006,0.911,1.022,1.03,0.995,61.4,10.74,5.53,0.9717142857142858,-1.575797419023807,-0.5611392672701982,-1.3336383865165757
5,1883,0.867,0.763,1.039,0.838,0.903,1.005,0.813,62.8,14.14,10.74,0.8897142857142857,-0.8560029320287584,-0.06706256239948387,-0.5759223566636464
6,1884,1.001,0.979,1.152,1.026,1.069,1.169,0.951,62.0,40.29,14.14,1.0495714285714284,-1.2673140674544996,3.732968564767922,-0.08144356558879809
7,1885,0.863,0.87,1.089,0.826,0.875,1.127,1.23,64.3,10.53,40.29,0.9828571428571428,-0.08479455310549115,-0.5916557696298602,3.7216800775309906
8,1886,1.116,0.93,1.094,0.968,1.079,1.223,0.985,62.6,16.72,10.53,1.0564285714285715,-0.9588307158851919,0.3078544665906462,-0.606463693759446
9,1887,0.908,0.809,0.917,0.801,0.84,1.006,0.856,62.5,16.02,16.72,0.8767142857142858,-1.0102446078134104,0.20613279205844043,0.2937785758738806
10,1888,1.043,0.976,1.166,1.037,1.066,1.129,0.894,63.2,20.82,16.02,1.0444285714285715,-0.6503473643158842,0.9036528459935668,0.19197411888788257
11,1889,1.065,1.028,1.231,0.968,1.185,1.215,0.803,63.1,33.26,20.82,1.0707142857142857,-0.7017612562441028,2.7113923191087683,0.8900618239347272
12,1890,1.061,1.047,1.252,0.899,1.041,1.094,0.646,63.7,12.69,33.26,1.0057142857142856,-0.3932779046747951,-0.2777717453590534,2.699272459514466
13,1891,1.235,1.157,1.348,1.194,1.223,1.335,1.001,63.1,12.84,12.69,1.2132857142857143,-0.7017612562441028,-0.2559742436735806,-0.29232422648836587
14,1892,1.042,0.873,1.164,0.983,1.016,1.042,1.042,61.7,18.72,12.84,1.023142857142857,-1.4215557432391515,0.5984878223969488,-0.27050898570565196
15,1893,1.281,1.083,1.227,1.22,1.288,1.261,0.978,61.6,21.96,18.72,1.1911428571428573,-1.47296963516737,1.0693138588031592,0.5846484529767325
16,1894,0.894,0.848,0.947,0.822,0.868,1.019,1.075,60.3,7.51,21.96,0.9247142857142858,-2.141350230234204,-1.030512136897377,1.0558576538833528
17,1895,1.257,1.018,1.261,1.035,1.203,1.245,1.186,61.8,12.55,7.51,1.1721428571428572,-1.3701418513109367,-0.2981160802654944,-1.0456772081847523
18,1896,1.411,1.113,1.291,1.131,1.216,1.254,1.082,63.2,11.8,12.55,1.2140000000000002,-0.6503473643158842,-0.40710358869285784,-0.31268511788556536
19,1897,1.169,1.115,1.248,1.044,1.138,1.3,1.139,61.9,14.28,11.8,1.1647142857142858,-1.3187279593827181,-0.04671822749304286,-0.42176132179913484
20,1898,0.965,0.962,0.922,0.779,1.114,0.973,0.961,62.7,4.83,14.28,0.9537142857142857,-0.9074168239569733,-1.4199608336778224,-0.061082674191598636
21,1899,0.995,0.919,0.875,0.88,1.022,0.924,0.789,61.9,8.69,4.83,0.9148571428571428,-1.3187279593827181,-0.8590384569716586,-1.435442843502574
22,1900,1.238,0.967,1.008,0.907,1.045,1.096,1.013,63.5,11.3,8.69,1.0391428571428571,-0.49610568853123227,-0.4797619276444335,-0.8740639806940698
23,1901,1.39,1.214,1.329,1.22,1.357,1.354,1.226,62.2,11.96,11.3,1.2985714285714285,-1.1644862835980625,-0.38385292022835366,-0.49447879107484777
24,1902,1.046,0.984,1.034,0.902,1.0,1.079,1.03,61.2,13.12,11.96,1.0107142857142857,-1.6786252028802406,-0.21528557386069838,-0.3984917316309066
25,1903,0.924,0.894,0.907,0.876,0.919,0.883,0.862,62.2,14.77,13.12,0.8949999999999999,-1.1644862835980625,0.024486944679501306,-0.22978720291125276
26,1904,0.972,0.923,0.911,0.815,0.918,0.889,1.094,63.9,11.88,14.77,0.9317142857142857,-0.2904501208183617,-0.39547825446060575,0.010180445698600117
27,1905,1.149,1.007,1.229,1.005,0.949,1.089,1.127,62.6,19.19,11.88,1.0792857142857142,-0.9588307158851919,0.6667866610114302,-0.4101265267150207
28,1908,1.162,1.007,1.064,1.058,1.106,1.116,1.699,61.9,13.22,19.19,1.173142857142857,-1.3187279593827181,-0.20075390607038304,0.6530028740959031
29,1909,1.424,1.317,1.465,1.355,1.412,1.541,1.555,61.5,23.17,13.22,1.4384285714285714,-1.5243835270955886,1.2451470390659725,-0.21524370905610996
30,1910,0.985,0.879,1.085,0.876,0.961,1.156,1.297,63.2,4.89,23.17,1.034142857142857,-0.6503473643158842,-1.4112418330036336,1.2318339295305785
31,1911,1.761,1.43,1.547,1.494,1.618,1.653,1.029,62.2,17.75,4.89,1.5045714285714287,-1.1644862835980625,0.45753064483089223,-1.4267167471894884
32,1912,1.16,0.94,0.975,0.917,0.93,1.077,1.002,62.7,9.75,17.75,1.000142857142857,-0.9074168239569733,-0.7050027783943181,0.4435765625818495
33,1913,0.89,0.853,0.81,0.923,0.789,0.881,1.148,62.6,16.99,9.75,0.8991428571428571,-0.9588307158851919,0.347089969624497,-0.7199029458295582
34,1915,1.293,1.1,1.198,1.248,1.105,1.184,0.953,63.0,16.67,16.99,1.1544285714285714,-0.7531751481723213,0.3005886326954891,0.33304600928276556
35,1916,1.08,1.071,1.128,1.059,1.173,1.11,1.062,60.9,23.29,16.67,1.0975714285714286,-1.8328668786648963,1.2625850404143502,0.28650682894630974
36,1917,1.367,1.16,1.12,1.235,1.211,1.228,0.81,63.1,8.45,23.29,1.1615714285714287,-0.7017612562441028,-0.8939144596684149,1.2492861221567493
37,1918,1.337,1.16,1.012,1.085,1.124,1.07,0.98,63.9,17.49,8.45,1.1097142857142859,-0.2904501208183617,0.41974830857607265,-0.908968365946412
38,1919,1.267,1.15,1.126,1.207,1.105,1.157,1.032,62.9,8.82,17.49,1.1491428571428572,-0.8045890401005399,-0.8401472888442487,0.40576347855847855
39,1920,1.09,0.995,0.929,0.932,0.979,0.904,0.767,62.4,11.18,8.82,0.9422857142857143,-1.061658499741629,-0.4971999289928118,-0.8551574386823843
40,1921,1.131,1.063,0.914,1.108,0.984,0.9,1.013,63.1,19.91,11.18,1.0161428571428572,-0.7017612562441028,0.771414669101699,-0.5119309837010191
41,1922,1.463,1.297,1.097,1.259,1.17,1.142,0.809,62.6,15.27,19.91,1.1767142857142854,-0.9588307158851919,0.09714528363107695,0.7577160298529296
42,1923,0.998,0.889,0.851,0.916,0.89,0.916,0.882,63.7,6.25,15.27,0.9059999999999999,-0.3932779046747951,-1.2136111510553476,0.08289791497431309
43,1924,0.839,0.67,0.584,0.768,0.604,0.664,0.429,63.4,8.11,6.25,0.6511428571428571,-0.5475195804594508,-0.9433221301554863,-1.228925230759549
44,1925,1.043,0.857,0.669,0.771,0.757,0.666,0.755,63.9,8.87,8.11,0.7882857142857143,-0.2904501208183617,-0.8328814549490914,-0.9584162450538968
45,1926,0.988,0.964,0.765,0.842,0.855,0.864,1.041,65.1,18.51,8.87,0.9027142857142856,0.32651658232024994,0.5679713200372875,-0.8478856917548131
46,1927,0.922,1.085,1.037,1.101,0.93,0.875,0.851,63.4,18.63,18.51,0.9715714285714284,-0.5475195804594508,0.5854093213856651,0.5541071158809335
47,1928,0.86,0.962,0.882,1.015,0.929,0.793,1.004,64.2,8.69,18.63,0.9207142857142857,-0.13620844503370605,-0.8590384569716586,0.5715593085071042
48,1929,0.766,0.833,0.722,0.801,0.877,0.698,0.74,64.7,8.32,8.69,0.7767142857142856,0.12086101460738305,-0.9128056277958244,-0.8740639806940698
49,1930,0.789,0.918,0.943,0.838,0.902,0.779,0.824,64.9,14.0,8.32,0.8561428571428571,0.22368879846382014,-0.08740689730592513,-0.9278749079580972
50,1931,0.838,0.872,0.887,0.87,0.925,0.905,0.42,66.6,18.93,14.0,0.8167142857142858,1.0977249612435171,0.6290043247566107,-0.10180445698599781
51,1932,1.048,0.985,1.084,1.128,1.019,0.965,0.707,63.6,10.72,18.93,0.9908571428571429,-0.44469179660301367,-0.5640456008282613,0.6151897900725322
52,1933,1.184,0.882,1.035,1.09,1.04,0.863,0.562,62.5,18.72,10.72,0.9508571428571428,-1.0102446078134104,0.5984878223969488,-0.5788310554346748
53,1934,0.999,0.633,0.794,0.62,0.711,0.581,0.686,65.9,14.67,18.72,0.7177142857142857,0.7378277177459983,0.009955276889186229,0.5846484529767325
54,1935,1.022,0.849,0.995,0.912,0.922,0.855,0.654,63.6,14.49,14.67,0.8869999999999999,-0.44469179660301367,-0.016201725133380963,-0.004363048156542427
55,1936,1.253,1.08,1.074,1.08,1.095,0.971,0.789,65.2,18.24,14.49,1.0488571428571427,0.37793047424847215,0.5287358170034361,-0.030541337095799058
56,1937,1.394,1.134,1.31,1.208,1.196,1.048,0.738,63.6,17.97,18.24,1.1468571428571426,-0.44469179660301367,0.4895003139695853,0.514839682472048
57,1938,1.337,1.153,1.309,1.084,1.165,1.051,0.896,64.6,27.16,17.97,1.1421428571428573,0.06944712267916085,1.824960583899546,0.4755722490631631
58,1939,0.853,0.761,0.867,0.838,0.81,0.735,0.979,65.4,12.06,27.16,0.8347142857142857,0.48075825810490924,-0.36932125243803854,1.8121193343507678
59,1940,1.321,1.186,1.332,1.153,1.144,1.066,1.018,65.0,20.01,12.06,1.1742857142857142,0.27510269039203505,0.7859463368920143,-0.3839482377757641
60,1941,1.208,1.058,1.074,1.107,1.17,1.019,0.952,64.0,31.28,20.01,1.084,-0.23903622889014314,2.4236652968605292,0.7722595237080724
61,1942,1.077,0.921,1.162,1.077,0.974,0.979,1.108,63.5,8.4,31.28,1.0425714285714285,-0.49610568853123227,-0.9011802935635723,2.4113112811826434
62,1943,0.927,0.738,0.937,0.713,0.796,0.764,1.374,64.3,22.57,8.4,0.8927142857142858,-0.08479455310549115,1.1579570323240815,-0.9162401128739831
63,1944,0.8,0.703,0.77,0.76,0.794,0.639,1.182,62.2,17.43,22.57,0.8068571428571428,-1.1644862835980625,0.41102930790188374,1.1445729663997226
64,1945,1.033,0.868,0.929,0.82,0.94,0.817,1.281,63.1,12.78,17.43,0.9554285714285714,-0.7017612562441028,-0.2646932443477698,0.3970373822453932
65,1946,0.98,0.84,1.005,0.911,0.957,0.877,1.341,63.3,16.7,12.78,0.9872857142857142,-0.5989334723876694,0.3049481330325833,-0.2792350820187376
66,1947,0.794,0.769,0.984,0.808,0.778,0.767,1.221,64.1,4.08,16.7,0.8744285714285717,-0.18762233696192826,-1.528948342105186,0.29086987710285217
67,1948,0.778,0.895,0.87,1.019,0.916,0.773,0.74,63.0,7.59,4.08,0.855857142857143,-0.7531751481723213,-1.018886802665125,-1.5445190474161432
68,1949,0.62,0.702,0.623,0.771,0.834,0.65,0.734,63.4,10.63,7.59,0.7048571428571428,-0.5475195804594508,-0.5771241018395449,-1.0340424131006383
