Year,PMN,MWL,MPS,KSU,LCU,FCU,PT9,PT2,LGU,RRT,HLC,BIG,LPK,bishop_temp,bishop_rainfall,avg_ring_width,bishop_temp_lag1
1945,1.395,1.172,1.433,1.786,1.73,1.123,1.344,1.185,1.067,1.006,1.31,1.392,0.912,55.4,13.05,1.2965384615384616,55.1
1948,0.535,0.759,0.852,0.69,0.506,0.83,0.715,0.838,0.534,0.609,0.378,1.075,0.768,54.8,1.96,0.6991538461538462,55.8
1949,0.433,0.482,0.755,0.627,0.679,0.571,0.51,0.839,0.425,0.504,0.19,0.768,0.873,55.5,4.08,0.588923076923077,54.8
1950,0.358,0.66,0.918,0.629,0.379,0.675,0.64,0.945,0.475,0.726,0.247,0.604,0.706,57.9,5.25,0.6124615384615384,55.5
1951,0.113,0.273,0.455,0.434,0.59,0.642,0.278,0.429,-0.013,0.366,-0.013,-0.03,0.717,56.8,6.43,0.32623076923076927,57.9
1952,0.499,0.625,0.957,0.878,0.694,0.743,0.676,0.834,0.242,0.78,0.328,0.82,0.88,54.8,10.1,0.688923076923077,56.8
1953,0.473,0.526,0.843,0.785,0.656,0.821,0.778,1.065,0.341,0.715,0.487,0.821,0.725,56.2,2.58,0.695076923076923,54.8
1954,0.583,0.728,0.885,1.065,0.75,0.956,0.955,1.016,0.516,0.757,0.625,0.975,0.963,56.7,7.19,0.8287692307692307,56.2
1955,0.639,0.892,1.234,0.781,0.372,0.944,0.954,0.724,0.558,0.899,0.638,1.277,0.701,54.1,7.8,0.8163846153846154,56.7
1956,0.866,0.996,1.129,0.721,0.444,0.912,1.184,0.917,0.605,0.99,0.602,1.037,0.578,55.9,4.61,0.8446923076923079,54.1
1957,0.971,0.973,0.946,0.913,0.66,0.978,0.934,0.854,0.76,1.117,0.609,1.036,0.819,55.7,6.69,0.89,55.9
1958,1.367,0.968,1.345,1.584,0.731,1.529,1.33,1.151,1.263,1.221,1.041,1.338,1.131,57.1,4.76,1.2306923076923075,55.7
1959,1.066,0.487,0.608,0.381,0.196,0.698,0.505,0.421,0.639,0.738,0.83,0.765,0.77,57.6,3.98,0.6233846153846154,57.1
1960,0.741,0.344,0.592,0.639,0.529,0.698,0.728,0.848,0.506,0.511,0.399,0.376,0.711,57.2,4.12,0.5863076923076924,57.6
1961,0.31,0.151,-0.036,-0.016,-0.01,0.202,-0.052,0.105,0.254,0.505,0.197,0.316,0.343,56.9,2.24,0.17453846153846156,57.2
1962,0.869,0.486,0.679,0.743,0.47,0.757,0.676,0.683,0.518,0.613,0.906,0.845,0.836,56.0,7.74,0.6985384615384616,56.9
1963,0.87,0.477,0.422,0.367,0.198,0.476,0.428,0.365,0.427,0.61,0.563,0.619,0.742,55.9,6.83,0.5049230769230768,56.0
