"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1877"," "," "," "," "," "," ","T","0.00","0.00","0.86","0.45","3.93","5.24"
"1878","3.33","7.68","2.57","1.71","0.66","0.07","0.00","T","0.00","0.14","T","4.70","20.86"
"1879","3.59","0.97","0.49","1.19","0.24","0.03","0.00","0.00","0.00","0.93","3.44","6.53","17.41"
"1880","1.33","1.56","1.45","5.06","0.04","0.00","T","T","0.00","0.14","0.67","8.40","18.65"
"1881","1.43","0.36","1.66","0.46","0.01","0.00","0.00","T","T","0.82","0.27","0.52","5.53"
"1882","1.01","2.66","2.66","1.83","0.63","T","0.00","0.00","T","0.05","1.82","0.08","10.74"
"1883","1.62","3.47","2.87","0.15","2.02","0.03","T","0.00","0.00","1.42","0.00","2.56","14.14"
"1884","3.15","13.37","12.36","3.58","0.35","1.39","T","T","T","0.39","1.06","4.64","40.29"
"1885","1.05","T","0.01","2.00","0.06","T","T","T","T","0.26","5.52","1.63","10.53"
"1886","7.72","1.38","2.50","3.29","0.00","0.01","0.24","0.21","0.00","0.01","1.18","0.18","16.72"
"1887","0.20","9.25","0.24","2.30","0.20","0.04","0.07","0.00","0.15","0.12","0.78","2.67","16.02"
"1888","6.03","0.77","3.15","0.11","0.02","T","0.03","0.08","T","0.36","4.01","6.26","20.82"
"1889","0.25","0.92","6.48","0.27","0.62","0.00","0.00","0.61","T","6.96","1.35","15.80","33.26"
"1890","7.83","1.36","0.66","0.22","0.03","0.02","0.00","0.03","0.06","0.03","0.13","2.32","12.69"
"1891","0.25","8.56","0.41","1.26","0.31","0.00","T","0.00","0.06","0.00","0.00","1.99","12.84"
"1892","0.88","3.19","3.39","0.22","2.06","0.06","0.00","0.01","0.00","0.33","4.40","4.18","18.72"
"1893","6.29","2.27","8.52","0.19","0.06","0.03","0.00","0.00","T","0.75","0.20","3.65","21.96"
"1894","0.94","0.49","0.37","0.13","0.20","T","T","0.01","0.73","0.02","0.00","4.62","7.51"
"1895","5.84","0.46","3.77","0.46","0.19","0.01","T","T","T","0.24","0.80","0.78","12.55"
"1896","3.23","T","2.97","0.19","0.30","T","0.02","0.01","T","1.30","1.66","2.12","11.80"
"1897","3.70","5.62","2.31","0.02","0.10","T","T","0.00","0.00","2.47","0.01","0.05","14.28"
"1898","1.26","0.51","0.98","0.03","1.75","T","0.07","T","0.02","0.09","T","0.12","4.83"
"1899","2.64","0.04","1.81","0.18","0.04","0.58","0.00","0.01","T","1.59","0.90","0.90","8.69"
"1900","1.17","T","0.99","0.54","1.81","T","T","T","T","0.26","6.53","T","11.30"
"1901","2.49","4.38","0.45","0.68","1.50","T","T","0.09","0.03","1.88","0.46","0.00","11.96"
"1902","1.62","3.35","2.98","0.16","0.03","T","T","T","T","0.40","2.08","2.50","13.12"
"1903","2.10","1.52","6.93","3.77","T","0.02","0.00","T","0.43","T","0.00","T","14.77"
"1904","0.14","2.68","4.50","0.97","T","T","T","0.17","0.28","0.69","0.00","2.45","11.88"
"1905","2.57","6.06","6.00","0.35","0.95","0.00","0.00","0.00","T","0.08","2.98","0.20","19.19"
"1906","3.85","2.47","7.35","M1.22","M0.99","0.01","M0.60","M0.04","M0.05","0.00","M0.88","4.22","21.68"
"1907","7.02","M1.31","M4.08","M0.16","M0.07","M0.03","0.00","0.00","0.00","1.14","0.00","M0.88","14.69"
"1908","M5.04","M3.66","M0.18","M0.52","0.25","0.00","0.00","M0.08","1.22","0.25","0.56","1.46","13.22"
"1909","7.27","5.20","2.56","T","M0.00","0.11","0.00","T","0.04","0.28","1.51","6.20","23.17"
"1910","1.53","0.11","1.86","0.30","M0.00","0.00","0.04","0.00","M0.01","0.82","0.15","0.07","4.89"
"1911","6.70","2.81","5.15","0.28","0.02","0.03","T","M0.00","1.23","M0.16","M0.10","1.27","17.75"
"1912","0.07","0.00","6.99","1.66","0.12","0.00","0.00","0.00","0.00","0.56","0.35","0.00","9.75"
"1913","2.01","9.16","M0.15","M0.35","0.05","0.58","T","T","0.03","T","3.00","1.66","16.99"
"1914","11.32","M6.10","M0.58","M0.47","0.43","0.09","0.01","0.00","0.00","0.31","0.20","3.73","23.24"
"1915","5.42","5.09","0.60","0.81","0.88","T","0.00","0.00","T","0.00","1.35","2.52","16.67"
"1916","13.30","1.82","0.90","T","0.03","0.00","0.00","T","0.77","2.71","0.09","3.67","23.29"
"1917","2.68","4.49","0.18","0.46","0.21","0.00","T","T","T","0.00","0.36","0.07","8.45"
"1918","0.50","6.14","6.21","0.15","0.40","0.03","0.09","0.03","0.55","T","1.85","1.54","17.49"
"1919","0.96","1.02","2.18","0.17","0.19","0.00","0.00","T","1.29","0.56","0.46","1.99","8.82"
"1920","0.50","2.37","4.25","1.00","0.10","T","T","0.00","0.04","0.76","1.15","1.01","11.18"
"1921","3.28","0.86","2.75","0.28","3.57","0.01","T","T","0.62","0.59","0.05","7.90","19.91"
"1922","4.64","M3.47","M1.64","0.10","0.65","MT","T","0.00","0.00","0.24","1.44","3.09","15.27"
"1923","1.76","0.75","0.32","1.97","0.00","0.02","T","T","0.55","0.04","0.04","0.80","6.25"
"1924","0.36","0.03","3.42","1.43","0.00","0.00","0.00","0.00","T","0.63","1.14","1.10","8.11"
"1925","0.20","0.53","1.56","1.90","0.32","M0.49","T","0.00","0.00","0.74","0.68","2.45","8.87"
"1926","3.06","2.70","0.22","7.53","0.18","T","T","T","0.00","M0.27","3.40","1.15","18.51"
"1927","1.09","9.03","2.07","0.70","T","T","T","T","T","2.04","0.61","3.09","18.63"
"1928","0.02","1.43","M1.99","M0.29","0.29","0.01","0.00","T","0.00","0.29","1.67","2.70","8.69"
"1929","1.20","2.15","2.51","1.99","T","0.15","0.00","0.00","0.32","T","0.00","0.00","8.32"
"1930","6.55","0.45","3.99","0.15","1.04","T","0.00","0.00","0.01","0.10","1.71","0.00","14.00"
"1931","3.90","3.25","T","3.02","0.52","0.02","0.00","0.02","0.24","0.06","1.95","5.95","18.93"
"1932","2.94","5.33","0.01","0.30","0.02","0.13","T","0.00","0.14","0.08","0.00","1.77","10.72"
"1933","8.46","0.00","0.15","0.56","0.21","0.47","T","0.01","0.00","0.34","0.04","8.48","18.72"
"1934","3.22","2.04","0.01","T","0.00","0.41","T","0.01","0.13","2.31","2.79","3.75","14.67"
"1935","2.91","2.23","4.31","3.19","0.03","T","T","0.11","T","0.05","1.24","M0.42","14.49"
"1936","0.51","7.25","1.34","0.95","0.00","0.20","0.01","0.02","0.03","1.25","0.05","6.63","18.24"
