"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual"
"1877","M","M","M","M","M","M","72.8","71.4","71.2","64.0","62.9","56.6","M"
"1878","55.2","55.3","56.6","58.7","63.3","66.7","69.7","70.6","69.6","64.6","59.2","54.6","62.0"
"1879","52.2","56.0","59.4","60.2","62.0","67.9","68.9","71.8","69.5","65.3","56.6","53.0","61.9"
"1880","52.9","50.8","52.0","57.0","62.6","65.7","66.5","68.6","66.1","63.4","56.1","56.3","59.9"
"1881","52.8","59.3","57.5","62.8","63.9","67.3","71.5","71.4","69.3","61.0","57.2","55.2","62.4"
"1882","49.9","51.0","55.5","57.6","63.7","66.4","71.2","73.2","69.5","63.3","57.7","56.7","61.4"
"1883","53.3","52.3","58.1","58.5","63.7","71.3","72.5","72.2","73.6","62.0","59.6","56.0","62.8"
"1884","53.6","55.5","55.5","58.8","63.4","67.7","72.7","73.5","66.9","62.8","60.6","52.8","62.0"
"1885","54.6","57.0","61.6","63.3","65.5","67.3","72.1","75.3","70.7","65.8","59.8","58.4","64.3"
"1886","55.3","60.0","55.4","58.8","64.8","68.8","72.4","74.6","67.5","60.0","56.7","56.4","62.6"
"1887","55.2","51.2","59.5","60.2","64.6","67.8","71.6","70.1","69.4","66.2","60.4","53.1","62.5"
"1888","49.7","54.5","55.6","63.3","62.8","69.2","73.3","73.0","73.8","66.0","60.0","57.5","63.2"
"1889","52.5","56.4","59.2","62.1","62.6","66.4","70.9","71.7","72.6","66.3","61.3","54.8","63.1"
"1890","49.1","54.2","57.5","59.5","63.2","67.6","73.2","72.8","71.3","67.8","66.2","61.3","63.7"
"1891","55.9","52.9","58.2","59.4","61.5","66.4","73.7","74.9","73.0","66.0","61.2","52.8","63.1"
"1892","56.6","54.5","56.0","58.6","62.5","63.8","68.0","71.6","67.8","64.1","61.7","54.4","61.7"
"1893","57.3","54.9","53.5","57.8","62.6","66.1","69.5","71.5","66.1","63.4","57.3","57.9","61.6"
"1894","50.7","51.4","53.9","58.8","60.3","62.7","67.3","69.9","69.3","65.9","59.4","53.8","60.3"
"1895","52.2","56.9","55.5","58.8","63.5","65.9","68.4","68.7","68.9","65.7","60.1","56.4","61.8"
"1896","57.7","59.6","58.5","56.2","63.0","69.0","70.9","71.2","67.6","65.4","59.8","59.0","63.2"
"1897","55.6","53.1","53.0","61.2","62.5","65.7","69.5","71.8","70.3","62.0","61.5","55.7","61.9"
"1898","51.5","57.7","55.3","62.8","60.0","67.1","70.4","73.9","71.0","64.6","60.6","56.8","62.7"
"1899","55.8","53.7","56.7","59.7","59.5","65.1","69.6","68.6","70.4","63.5","62.1","57.8","61.9"
"1900","57.7","58.3","60.4","56.9","64.0","67.3","70.7","68.5","67.0","64.1","66.5","60.4","63.5"
"1901","55.0","57.4","60.3","57.0","60.5","65.5","70.0","71.4","64.6","64.8","60.6","58.4","62.2"
"1902","55.8","54.5","55.0","57.8","60.7","66.5","68.5","69.1","69.2","63.2","58.2","56.1","61.2"
"1903","56.6","52.0","56.3","58.0","60.8","66.2","68.4","70.5","69.1","66.3","63.5","58.2","62.2"
"1904","55.7","55.6","57.2","61.0","62.2","67.5","69.5","73.0","72.2","67.5","65.7","59.7","63.9"
"1905","59.0","58.3","59.3","59.5","60.5","64.2","69.1","70.4","68.9","65.8","59.2","57.0","62.6"
