"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1893","M0.72","M0.36","M0.53","M0.34","M0.76","T","M0.89","M1.11","M1.28","M0.05","M1.46","M0.77","8.27"
"1894","M0.33","M0.60","M0.74","M0.58","M0.68","0.24","M0.02","M0.66","M0.69","0.79"," ","1.23","6.56"
"1895","M0.64","0.89","M1.59","M0.02","M0.35","M0.12","M1.14","M0.11","M0.36","0.47","M1.38","0.35","7.42"
"1896","M0.45","T","M0.18","M0.11","0.17","0.03","0.66","0.51","5.97","0.83","0.30","M0.32","9.53"
"1897","1.22","M2.12","M3.01","M0.72","0.38","0.14","0.80","0.60","1.46","M2.52","M0.48","M1.82","15.27"
"1898","M0.77","M0.13","0.44","0.25","1.58","0.16","0.17","0.35"," ","T","M0.25","M0.22","4.32"
"1899","M0.48","M0.15","0.57","0.37","0.39","0.76","0.55","2.04","0.03","1.06","0.11","1.13","7.64"
"1900","0.42","0.12","0.04","1.03","0.03","0.26","0.02","0.37","1.43","0.22","0.53"," ","4.47"
"1901","0.32","0.58","M0.56","0.75","1.19","0.20","0.39","1.47","T","1.41","0.02","0.28","7.17"
"1902","0.40","0.49","0.91","0.40","0.84","0.43","0.30","0.53","1.26","T","1.94","0.40","7.90"
"1903","0.12","0.90","M1.16","0.69","0.84","0.70","0.84","0.03","1.27","0.28","0.00","0.05","6.88"
"1904","0.15","0.41","0.90","0.08","1.41","0.26","0.37","0.97","0.25","0.63"," ","0.29","5.72"
"1905","1.90","M1.35","1.51","0.66","2.28"," ","0.53","0.15","1.95","0.12","1.55","M0.11","12.11"
"1906","0.57","0.21","1.88","1.72","1.79","T","0.77","0.58","2.08","0.23","1.75","1.57","13.15"
"1907","1.18","0.56","0.92","0.36","1.40","0.37","0.81","1.73","0.60","0.68","M0.27","0.39","9.27"
"1908","0.34","1.71","0.95","0.36","0.41","0.20","M1.56","1.29","0.73","M2.49","0.86","1.49","12.39"
"1909","0.94","M0.77","0.56","1.16","0.09","T","0.50","0.84","1.17","0.18","1.56","M2.02","9.79"
"1910","0.71","MT","1.31","0.03","MT","1.32","0.25","0.78","M0.84","1.17","1.12","1.50","9.03"
"1911","1.00","M1.11","0.82","M0.47","MT","0.60","M1.42","0.75","M1.67","2.60","M0.21","M0.60","11.25"
"1912","M0.16","0.26","M2.76","M0.65","0.98","M0.83","M0.90","0.30","M0.08","M2.95","0.65","0.35","10.87"
"1913","0.94","1.49","M0.10","0.35","0.19","M0.40","M0.37","M0.29","M1.78","M0.05","M1.39","M1.00","8.35"
"1914","M1.12","0.57","0.44","M1.07","M1.23","M1.20","2.00","M0.77","M0.31","M1.66","M0.02","M0.31","10.70"
"1915","M2.31","M1.02","M0.25","M1.02","M1.93","M0.17","M0.51","M0.43","1.08","M0.14","M0.88","M2.45","12.19"
"1916","M2.67","0.45","1.17","0.45","0.90","0.00","0.53","M0.84","0.73","4.20","0.05","0.33","12.32"
"1917","1.66","0.10","0.54","2.78","1.47","M0.17","0.55","0.03","M0.78","M0.02","M0.13","M0.06","8.29"
"1918","M1.65","0.22","M1.38","M0.77","M0.11","M1.15","M6.68","M0.54","M0.72"," "," "," ","13.22"
"1919"," "," ","0.35","0.20","0.26","0.10","1.03","0.55","0.87","0.51","1.48","0.23","5.58"
"1920","0.59","1.46","0.54","1.30","0.08","0.44","0.26","0.79","0.32","1.73","0.40","0.44","8.35"
"1921","0.68","0.26","0.37","1.45","1.35","0.37","M1.12","2.33"," ","M0.51","M0.65","M1.59","10.68"
"1922","0.61","M0.70","0.51","M1.04","M0.57","0.33","M0.21","1.16","0.03","0.01","M0.69","0.52","6.38"
"1923","0.17","M0.15","1.30","1.00","0.45"," ","M0.90","0.37","M1.07","M0.61","1.15","0.80","7.97"
"1924","M0.90","M0.45","M1.23","0.73","0.69","MT","1.16","0.53","1.30","1.03","0.20","M1.42","9.64"
"1925","M0.51","0.60","0.32","0.52","0.03","0.85","1.10","1.86","1.76","2.13","M0.46","0.46","10.60"
"1926","0.02","0.65","1.27","1.09","2.22"," ","1.33","0.37","0.90","0.56","0.14","2.17","10.72"
"1927","1.01","2.50","2.01","0.33","0.06","2.35","1.30","0.66","3.55","1.14","0.44","0.61","15.96"
"1928","0.11","T","0.69","0.12","1.56","0.23","1.39","0.80","0.12","3.50","1.98","0.31","10.81"
"1929","0.74","1.09","1.09","1.14","1.85","0.10","0.78","0.83","1.73","0.14","0.73","0.08","10.30"
"1930","2.55","0.99","0.41","1.81","0.25","0.53","1.14","1.17","1.36","0.36","0.63","0.00","11.20"
"1931","T","0.01","0.42","0.02","0.32","0.38","0.30","0.20","1.66","1.00","0.85","0.71","5.87"
"1932","0.21","0.53","0.68","0.99","0.10","0.70","1.67","1.99","0.20","0.10","0.00","0.92","8.09"
"1933","0.44","T","0.49","0.79","1.21","T","1.74","0.61","M0.50","0.30","1.65","0.39","8.12"
"1934","0.65","1.49","0.00","0.41","1.26","0.04","0.17","1.37","0.44","0.00","1.09","0.86","7.78"
"1935","1.24","1.20","1.11","1.04","0.58"," "," "," ","M0.41","M0.12","0.30","1.17","7.17"
"1936","0.16","1.07","0.52","0.27","0.21","0.25","1.17","1.62","M0.02","M0.36","0.10","1.40","7.15"
"1937","0.25","0.52","1.42","0.05","0.19","0.39","2.35","M1.55","0.83","0.48","0.41","0.75","9.19"
"1938","M0.38","0.93","1.01","M0.39","1.00","M0.56","0.00","0.84","M0.91","M0.97","0.18","0.97","8.14"
