"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1895","2.60","0.38","0.47","0.18","0.03","0.12","0.12","0.01","0.01","M0.19","M0.21","M0.03","4.35"
"1896","M1.48"," ","M0.93","M0.17","M0.04","M0.05","M0.61","M0.36","MT","MT","M0.04","M0.48","4.16"
"1897","M0.32","M1.67","M1.75"," ","M0.12","MT","M0.01","M0.05","M0.09","M0.39","MT","M0.49","4.89"
"1898","M0.05","M0.13","MT","M0.21","M0.27","MT","MT"," ","M0.41"," ","M0.21","M0.11","1.39"
"1899","M1.65"," ","MT","M0.64","M0.02"," "," ","M0.05"," ","M0.14","M0.05","M1.05","3.60"
"1900","M0.49","M0.01"," ","M0.60","M0.34","M0.12","MT"," ","M0.39","M0.03"," "," ","1.98"
"1901"," "," "," ","M0.50","M1.29","MT","MT","M0.93"," ","M0.81","M0.61","M0.12","4.26"
"1902"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1903"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1904"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1905","M0.46","M1.18","M2.73","M0.04","M0.40","M0.02"," "," ","M0.41"," ","M0.50","M0.05","5.79"
"1906","M2.34","M0.14"," ","M0.74","M0.46","M0.19","M0.01","M0.55"," "," ","M0.30","M2.15","6.88"
"1907","M1.80","M0.15","M1.37"," ","M0.14","MT"," ","MT"," ","M1.81"," ","M0.74","6.01"
"1908","M1.58","M1.65","M0.18","MT"," ","MT","M0.08","M0.15"," "," "," ","M0.42","4.06"
"1909","M3.77","M1.47","M0.20","M0.42"," ","MT"," "," ","MT","M0.47","M0.57","M6.08","12.98"
"1910"," "," "," "," "," ","M0.19"," "," "," "," "," ","M0.30","0.49"
"1911","M5.02","M1.66","M3.92"," "," "," ","M0.18"," "," "," "," "," ","10.78"
"1912"," "," "," "," ","M0.51"," "," "," "," "," "," "," ","0.51"
"1913","M1.25","M2.05"," "," ","M0.10"," "," "," "," ","MT","M0.56","M0.20","4.16"
"1914","M9.67"," "," ","M0.19","MT","M0.10"," "," "," "," "," ","M1.00","10.96"
"1915","M0.96","M1.69","M1.48","M0.69","M0.83"," "," "," ","M0.55"," "," ","M0.08","6.28"
"1916","M9.51","M0.50","M0.70","M0.10"," ","MT"," ","M0.10","M0.54","M0.78"," "," ","12.23"
"1917","M0.18","M2.08"," ","M0.37","M0.13"," ","M0.21","MT","MT"," "," "," ","2.97"
"1918","M0.01","M2.20","M1.55"," "," ","M1.54"," "," "," "," "," "," ","5.30"
"1919"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1920"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1921"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1922"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1923"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1924"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1925"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1926"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1927"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1928"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1929"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1930"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1931"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1932"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1933"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1934"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1935"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1936"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1937"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1938"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1939"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1940"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1941"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1942"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1943"," "," "," "," "," "," "," "," ","0.14","MT","MT","M0.53","0.67"
"1944","0.34","M1.99","M0.24","0.20","0.05","0.03","0.00","0.00","T","0.04","M0.51","M0.09","3.49"
"1945","0.00","M5.50","M0.74","0.02","0.35","0.04","0.07","0.22","0.18","2.93","0.11","2.89","13.05"
"1946","0.02","0.18","M1.24"," ","M0.08","0.00","M0.59","0.01","0.00","M0.43","M2.18","M0.87","5.60"
"1947","MT","M0.19","0.05","M0.33","0.02","0.02","T","T","T","0.05","M0.02","M0.12","0.80"
"1948","0.00","0.01","0.05","0.56","0.32","0.43","0.00","T","0.00","0.23","0.00","0.36","1.96"
"1949","0.73","0.55","0.29","0.02","0.74","T","0.05","0.05","T","T","1.59","0.06","4.08"
"1950","0.42","0.65","0.43","0.10","T","T","0.23","0.02","0.53","0.21","1.81","0.85","5.25"
"1951","0.25","0.05","T","0.33","0.08","0.33","0.07","0.01","T","0.24","0.87","4.20","6.43"
"1952","5.03","T","2.05","1.02","T","0.03","0.20","T","0.09","0.00","0.53","1.15","10.10"
"1953","0.11","T","0.27","0.15","1.17","0.03","0.19","0.03","T","0.12","0.38","0.13","2.58"
"1954","1.68","2.21","1.00","T","0.18","0.02","0.16","0.00","0.14","0.00","0.85","0.95","7.19"
"1955","1.81","0.19","T","0.41","0.88","0.00","0.04","0.22","0.14","T","0.09","4.02","7.80"
"1956","1.45","T","0.00","2.26","0.34","0.00","0.05","0.00","T","0.46","0.00","0.05","4.61"
"1957","1.61","0.57","0.07","0.41","0.47","T","0.01","0.00","0.05","1.58","0.32","1.60","6.69"
"1958","0.58","0.77","1.46","1.30","0.08","0.14","T","0.02","0.10","0.03","0.28","0.00","4.76"
"1959","0.77","2.53","0.02","0.01","0.18","0.01","0.05","0.01","0.28","0.00","0.00","0.12","3.98"
"1960","0.18","0.81","0.03","0.01","0.01","T","0.19","T","0.05","0.17","2.59","0.08","4.12"
"1961","0.17","T","0.11","T","0.02","0.16","0.12","0.28","T","0.00","0.56","0.82","2.24"
"1962","0.49","4.96","0.30","0.00","1.30","0.17","0.06","T","0.46","T","0.00","0.00","7.74"
"1963","3.22","0.63","0.60","0.33","0.25","0.55","0.00","0.61","0.38","0.08","0.15","0.03","6.83"
"1964","0.49","T","0.03","0.49","0.81","T","T","0.05","0.00","0.37","0.22","0.24","2.70"
"1965","0.48","0.02","0.05","0.49","0.02","0.22","0.59","0.61","0.02","0.00","1.90","2.16","6.56"
"1966","0.00","0.01","T","T","0.18","T","T","0.10","0.18","0.00","0.27","5.79","6.53"
"1967","1.64","T","0.50","0.47","0.02","T","0.62","0.03","0.26","0.00","0.30","0.52","4.36"
"1968","0.01","0.03","0.10","0.01","0.01","T","0.70","0.39","0.00","0.08","0.01","0.48","1.82"
"1969","8.93","6.01","0.68","0.11","0.27","0.36","0.31","0.04","T","0.02","0.16","0.20","17.09"
"1970","0.71","0.54","0.05","0.44","T","0.04","0.03","0.01","0.00","0.00","1.64","0.22","3.68"
"1971","0.01","0.11","0.27","0.06","1.04","0.00","0.14","0.13","0.01","0.01","0.04","1.85","3.67"
"1972","T","0.00","0.00","T","0.11","0.25","0.04","0.09","0.36","0.90","0.68","0.01","2.44"
"1973","3.02","1.59","0.32","0.00","0.09","0.14","0.00","0.01","0.00","0.00","1.94","0.60","7.71"
"1974","1.48","0.00","1.75","0.21","0.33","0.00","0.16","T","0.00","0.80","T","0.64","5.37"
"1975","T","0.20","0.69","0.20","T","0.07","T","0.10","1.18","0.09","0.02","0.00","2.55"
"1976","0.00","1.37","0.05","0.05","0.59","0.17","1.47","T","0.94","0.02","0.00","T","4.66"
"1977","0.77","0.22","0.04","0.02","0.60","0.61","T","0.51","T","T","0.05","2.53","5.35"
"1978","2.68","3.33","1.64","0.22","0.00","0.02","0.02","0.01","0.51","0.18","0.51","0.50","9.62"
"1979","0.45","0.64","0.49","T","T","T","0.03","0.02","0.25","0.07","0.13","0.57","2.65"
"1980","1.56","2.72","0.28","0.43","0.10","T","0.35","0.00","0.14","T","0.08","1.25","6.91"
"1981","0.65","0.11","0.85","0.68","0.88","0.00","0.00","0.04","0.03","0.09","1.30","0.11","4.74"
"1982","1.43","0.02","0.50","1.62","0.08","1.29","0.00","0.51","0.74","0.68","0.87","2.67","10.41"
"1983","1.82","1.29","1.20","0.22","0.00","T","0.05","0.64","0.40","0.08","1.31","1.14","8.15"
"1984","T","0.36","0.09","0.02","T","0.04","1.04","0.58","T","0.16","1.97","0.85","5.11"
"1985","0.25","0.01","0.06","0.00","0.00","0.67","0.31","0.00","0.34","0.05","0.95","0.55","3.19"
"1986","0.86","3.04","1.00","0.65","T","0.00","0.31","0.06","0.12","0.00","0.03","0.08","6.15"
"1987","0.42","0.31","0.03","0.04","0.54","0.16","0.18","0.03","0.01","0.13","1.67","0.60","4.12"
"1988","0.87","0.30","0.07","0.63","0.12","0.23","T","T","0.50","0.00","0.12","0.68","3.52"
"1989","0.06","0.12","0.04","0.00","1.04","0.04","0.00","0.01","0.24","0.00","0.26","0.00","1.81"
"1990","0.95","0.50","0.00","0.56","0.21","0.15","0.26","0.45","0.28","0.00","0.00","0.00","3.36"
"1991","T","0.07","2.94","0.07","T","0.02","0.00","0.00","0.21","0.69","0.00","0.58","4.58"
"1992","0.38","1.31","0.67","0.00","0.06","0.30","0.12","0.06","0.05","0.53","0.00","1.50","4.98"
"1993","2.03","M2.62","0.91","0.00","0.04","0.00","0.00","T","0.00","0.06","0.12","0.08","5.86"
"1994","0.04","1.33","0.57","0.03","0.54","0.00","0.00","0.00","1.28","0.24","0.05","0.25","4.33"
"1995","3.08","0.60","2.28","0.07","0.72","0.20","0.23","0.01","T","T","0.02","1.06","8.27"
"1996","0.38","0.30","0.79","0.43","0.02","0.00","0.12","T","T","0.77","0.78","0.39","3.98"
"1997","2.26","T","0.00","0.00","0.01","0.47","0.23","T","0.24","T","0.25","0.48","3.94"
"1998","0.55","5.16","0.85","0.28","0.57","1.31","0.01","0.03","0.28","0.17","0.01","0.06","9.28"
"1999","1.10","0.41","0.01","0.38","0.08","0.02","0.04","0.19","0.15","0.00","0.02","0.00","2.40"
"2000","0.30","0.98","0.29","0.45","T","T","T","0.30","0.02","0.25","0.00","0.00","2.59"
"2001","0.79","1.40","0.37","0.41","0.12","T","0.73","T","0.00","T","1.02","0.21","5.05"
"2002","0.03","T","0.01","0.04","0.00","T","0.05","T","0.01","T","1.68","0.86","2.68"
"2003","0.04","0.46","0.57","0.21","T","T","T","T","T","0.00","0.88","0.30","2.46"
"2004","0.03","1.34","0.10","0.10","T","0.07","0.02","0.01","T","1.26","1.13","1.80","5.86"
"2005","3.78","0.83","1.23","T","0.25","0.00","0.02","0.58","0.36","0.28","T","2.16","9.49"
"2006","3.01","0.79","0.18","0.39","0.08","0.06","0.26","0.00","0.00","0.52","0.00","0.05","5.34"
"2007","0.35","0.12","0.03","0.17","0.00","0.00","0.39","0.17","0.22","0.01","0.03","0.37","1.86"
"2008","4.82","1.24","0.00","0.00","0.15","0.00","0.15","0.00","0.08","T","0.70","0.61","7.75"
"2009","0.03","0.53","0.04","0.02","0.12","0.58","0.11","0.12","0.01","1.77","0.07","1.30","4.70"
"2010","1.28","0.39","0.02","0.39","T","0.00","0.08","T","0.00","1.33","0.28","5.37","9.14"
"2011","0.02","0.94","1.00","0.04","0.06","0.01","0.08","T","0.16","0.74","0.14","T","3.19"
"2012","1.43","0.05","0.29","0.23","T","0.00","T","0.25","0.00","0.42","0.04","0.77","3.48"
"2013","T","T","T","T","0.47","T","0.48","0.16","T","0.16","0.03","0.03","1.33"
"2014","0.20","1.71","0.04","0.07","0.24","T","0.15","0.20","0.16","T","T","0.46","3.23"
"2015","0.09","0.17","0.01","0.01","1.39","0.39","0.47","0.02","0.01","0.75","T","0.06","3.37"
"2016","1.06","0.06","0.07","1.04","0.34","0.50","T","T","T","0.09","T","0.27","3.43"
"2017","5.23","2.21","0.09","0.92","0.35","T","T","0.02","T","0.00","0.16","T","8.98"
"2018","0.04","T","M0.62","0.40","0.27","0.00","1.52","0.01","0.06","0.40","0.91","0.26","4.49"
"2019","1.89","2.42","1.92","T","0.89","0.03","T","T","0.01","0.00","0.91","0.19","8.26"
"2020","0.06","0.16","0.45","0.48","T","T","T","T","T","0.00","T","0.21","1.36"
"2021","1.09","0.31","0.01","T","T","T","0.06","0.01","T","0.65","0.13","3.72","5.98"
"2022","0.00","T","0.25","T","0.00","T","0.17","0.72","1.09","T","0.46","2.56","5.25"
"2023","5.55","1.13","3.96","0.00","T","0.73","0.13","2.08","0.36","0.18","0.07","0.36","14.55"
"2024","0.08","3.40","0.35","0.01","T","T","0.02","T","T","T","0.69","T","4.55"
"2025","0.06","M2.50"," "," "," "," "," "," "," "," "," "," ","2.56"
