"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1937"," "," ","0.04","0.18","0.01","0.04","0.22","0.00","0.17","0.24","0.87","1.64","3.41"
"1938","0.28","3.44","1.82","0.17","0.30","1.37","0.37","0.01","0.08","0.14","0.14","0.13","8.25"
"1939","1.14","0.22","0.67","0.06","0.61","0.04","0.62","0.48","0.84","0.72","0.06","0.27","5.73"
"1940","3.07","1.35","0.58","1.10","0.02","0.62","0.24","0.00","0.79","0.43","0.55","1.48","10.23"
"1941","0.60","0.85","0.14","0.50","0.09","0.54","0.26","1.22","0.04","1.06","0.13","2.21","7.64"
"1942","1.46","0.64","0.33","0.20","0.32","0.08","T","0.00","0.02","0.07","0.96","0.56","4.64"
"1943","4.05","0.56","1.81","0.44","T","0.18","0.60","T","T","0.32","0.29","0.76","9.01"
"1944","0.77","1.48","1.13","0.20","0.37","0.18","0.28","0.00","0.07","0.64","1.58","0.27","6.97"
"1945","0.25","1.88","0.97","0.31","0.24","0.97","0.10","0.23","0.00","2.14","0.17","1.58","8.84"
"1946","0.19","0.33","0.97","0.05","0.17","0.00","0.84","T","0.10","0.51","2.04","0.39","5.59"
"1947","0.16","0.51","0.12","0.03","0.30","0.07","0.00","0.12","T","0.17","0.06","0.01","1.55"
"1948","0.01","0.30","0.07","0.67","1.25","0.52","0.00","0.08","0.01","0.17","T","0.72","3.80"
"1949","0.76","0.32","0.74","0.29","1.64","0.13","0.80","0.11","0.18","0.11","1.28","0.17","6.53"
"1950","1.54","0.30","0.96","0.50","0.20","0.73","0.04","0.07","1.02","1.56","1.43","1.26","9.61"
"1951","0.98","0.43","0.24","1.07","0.71","0.67","0.00","0.13","0.37","0.96","0.61","1.95","8.12"
"1952","1.89","0.62","2.02","1.63","0.02","0.09","0.72","0.01","0.67","0.04","0.50","1.68","9.89"
"1953","0.81","0.22","0.34","0.41","1.20","0.77","0.21","0.17","0.05","0.10","0.17","0.12","4.57"
"1954","0.86","1.49","1.81","0.21","0.02","0.24","0.08","T","0.00","T","0.74","1.49","6.94"
"1955","0.64","0.63","0.25","0.17","1.03","T","0.35","T","0.62","0.04","0.21","5.25","9.19"
"1956","2.58","0.53","0.05","1.38","0.75","0.02","0.49","T","0.35","0.89","T","0.05","7.09"
"1957","1.20","0.80","0.26","0.21","0.83","0.06","0.03","0.00","0.61","1.27","0.58","1.52","7.37"
"1958","0.78","1.70","1.76","2.04","0.25","0.45","0.22","0.56","0.49","T","0.38","0.24","8.87"
"1959","0.64","2.80","0.07","T","1.84","0.00","0.05","0.09","0.04","T","0.00","0.45","5.98"
"1960","1.21","1.19","0.59","0.05","T","T","0.87","T","T","0.18","1.45","0.24","5.78"
"1961","0.80","0.30","0.40","0.27","0.91","0.56","0.30","0.47","0.39","0.15","0.64","0.18","5.37"
"1962","0.35","3.69","0.84","T","1.40","0.04","0.38","0.08","0.10","1.55","0.02","0.60","9.05"
"1963","2.51","1.09","0.41","0.82","2.89","1.10","T","0.17","0.18","0.24","1.44","0.08","10.93"
"1964","0.68","0.01","0.72","0.53","1.79","0.29","0.13","0.02","0.00","0.04","0.63","2.89","7.73"
"1965","1.64","0.01","0.98","0.27","0.18","1.31","0.35","1.65","0.50","0.02","1.62","1.19","9.72"
"1966","T","0.20","0.04","0.03","0.33","0.03","T","0.02","0.10","T","1.07","1.45","3.27"
"1967","2.11","T","1.93","0.95","0.47","0.59","0.57","1.22","0.82","0.04","0.22","0.55","9.47"
"1968","1.11","0.92","0.84","0.02","0.30","0.16","0.05","0.13","0.15","0.01","0.73","1.03","5.45"
"1969","4.13","1.74","0.07","0.10","0.20","1.29","0.17","T","0.01","0.40","0.04","2.07","10.22"
"1970","1.73","0.32","0.19","0.60","T","0.88","0.05","0.02","0.01","0.03","1.47","1.65","6.95"
"1971","0.75","0.33","1.54","0.59","2.38","0.09","1.06","0.09","0.10","0.44","0.24","2.97","10.58"
"1972","0.37","0.14","0.03","0.14","1.02","0.18","0.01","0.14","0.30","1.30","1.00","0.89","5.52"
"1973","1.54","1.66","0.73","0.13","0.75","0.07","0.27","0.48","0.01","0.56","1.74","1.27","9.21"
"1974","1.60","0.34","1.16","0.23","0.01","T","0.33","0.19","0.00","0.69","0.27","0.56","5.38"
"1975","0.32","1.74","1.59","0.62","0.21","0.21","0.03","1.03","0.92","0.15","0.12","0.01","6.95"
"1976","0.16","1.20","0.36","0.20","0.10","T","0.96","0.62","1.10","0.28","0.07","0.01","5.06"
"1977","0.67","0.71","0.19","T","1.24","1.03","0.07","0.01","0.01","0.14","0.23","2.54","6.84"
"1978","1.66","0.98","1.49","0.20","0.31","0.07","0.19","0.15","0.68","0.08","1.30","0.82","7.93"
"1979","0.66","0.82","0.52","0.41","0.16","T","0.58","0.38","T","0.31","0.17","2.02","6.03"
"1980","2.77","1.90","0.76","0.51","0.78","0.12","0.54","0.32","0.48","0.14","0.28","0.60","9.20"
"1981","0.85","0.21","0.58","0.21","0.57","T","0.01","0.36","0.07","0.64","2.13","1.05","6.68"
"1982","1.20","0.41","1.14","0.34","0.10","1.07","0.04","0.09","2.31","1.65","1.71","1.04","11.10"
"1983","1.72","1.58","1.31","1.35","0.21","0.53","T","0.78","0.84","0.36","3.08","1.47","13.23"
"1984","0.36","0.22","0.20","0.24","0.06","0.34","0.45","0.02","0.04","0.60","1.68","0.07","4.28"
"1985","0.24","0.68","1.07","T","T","0.12","T","0.01","0.63","0.46","1.23","0.55","4.99"
"1986","0.40","4.84","0.88","0.77","0.26","0.31","0.86","0.07","0.28","0.06","0.02","0.19","8.94"
"1987","0.49","0.78","0.80","0.49","2.29","1.12","0.01","0.01","0.01","0.54","0.37","0.59","7.50"
"1988","0.50","0.02","T","0.95","0.12","0.59","0.22","0.01","0.04","0.02","1.99","0.84","5.30"
"1989","0.20","0.80","0.46","0.03","1.33","1.53","0.00","0.82","1.19","0.43","0.55","T","7.34"
"1990","0.62","1.98","0.07","0.33","0.19","0.03","0.86","0.21","0.31","0.06","0.15","0.45","5.26"
