"Yr","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annl"
"1903"," "," "," "," "," "," "," "," ","MT","M0.38","M2.96","0.57","3.91"
"1904","M1.39","15.47","10.69","1.41","0.51"," "," "," "," "," "," "," ","29.47"
"1905","M0.76","2.27","4.60"," "," "," "," "," "," "," "," "," ","7.63"
"1906","9.49","5.10"," "," "," "," "," "," "," "," "," "," ","14.59"
"1907"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1908"," "," "," "," "," "," "," "," "," "," "," "," ",""
"1909"," "," ","M0.71","M0.12"," "," "," "," ","0.00","3.35","M7.58","M8.92","20.68"
"1910","M4.81","M3.94","M2.20","0.50","0.02","T","0.35","0.00","0.80","0.10","3.05","3.90","19.67"
"1911","M21.26","M3.80","M6.00","3.22","M0.25","0.63","0.00","0.00","T","0.01","M1.79","1.90","38.86"
"1912","M2.49","T","M3.32","2.28","M3.38","0.83","1.30","0.00","2.00","0.65","3.11","2.09","21.45"
"1913","7.44","0.63","1.88","1.82","1.66","0.99","1.36","0.40","0.10","0.10","4.05","9.71","30.14"
"1914","M20.49","5.26","0.11","2.29","0.55","0.95","0.00","0.00","0.18","1.28","0.50","3.36","34.97"
"1915","M5.68","10.68","1.08","0.54","3.70","T","0.41","T","0.16","0.00","2.43","6.20","30.88"
"1916","M17.60","4.62","M4.47","0.07","0.53","T","0.08","0.22","0.28","1.20","2.46","7.06","38.59"
"1917","2.23","11.98","3.61","2.32","0.71","0.01","0.57","0.04","0.02","0.13","1.12","3.38","26.12"
"1918","1.15","9.28","8.63","0.70","M0.51","0.56","T","0.12","3.70","3.01","2.97","1.33","31.96"
"1919","2.15","14.20","5.04","1.23","0.22"," "," ","0.01","0.41","0.57","0.88","7.19","31.90"
"1920","0.90","2.17","6.29","M3.77","T","1.20","0.11","M0.55","0.70","4.19","5.02","7.70","32.60"
"1921","10.28","2.66","2.19","0.67","2.68","0.18","T","0.00","0.09","0.52","1.31","8.42","29.00"
"1922","2.95","13.19","4.60","1.03","1.66","0.80","0.31","0.23"," ","1.05","3.72","10.88","40.42"
"1923","5.79","1.50","0.79","4.41","0.74","1.25","0.05","0.98","1.75","1.69","0.64","2.65","22.24"
"1924","M1.54","1.06","M2.56","M0.16","0.10"," ","0.00","0.00","0.45","2.63","2.15","3.55","14.20"
"1925","M0.94","8.02","M2.69","2.74","1.23","1.06","0.89","1.27","1.17","1.14","2.14","2.10","25.39"
"1926","3.93","6.95","0.37","3.93","1.13","0.06","0.07","0.01","0.04","1.30","10.61","1.68","30.08"
"1927","4.88","8.84","M3.21","5.05","1.25","0.34","0.00","0.00","0.22","3.00","5.35","3.29","35.43"
"1928","1.92","1.11","12.20","3.63","0.10","0.28","0.19","0.00","0.01","0.27","2.12","4.00","25.83"
