"","Year","PMN","MWL","MPS","KSU","LCU","FCU","PT9","PT2","LGU","RRT","HLC","BIG","LPK","SBT","GFS","GFE","GFN","CTN","CTS","LCM","BFB_SA","PUM","RED","TRG","DOU","WIL","RCK","DJU","NPC"
"1",350,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.233,NA,NA,NA,NA,NA,NA,NA,0.428,NA,NA,NA,NA,NA,NA,NA,NA
"2",351,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.27,NA,NA,NA,NA,NA,NA,NA,0.613,NA,NA,NA,NA,NA,NA,NA,NA
"3",352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.408,NA,NA,NA,NA,NA,NA,NA,0.865,NA,NA,NA,NA,NA,NA,NA,NA
"4",353,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.324,NA,NA,NA,NA,NA,NA,NA,0.782,NA,NA,NA,NA,NA,NA,NA,NA
"5",354,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.278,NA,NA,NA,NA,NA,NA,NA,0.935,NA,NA,NA,NA,NA,NA,NA,NA
"6",355,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.621,NA,NA,NA,NA,NA,NA,NA,1.089,NA,NA,NA,NA,NA,NA,NA,NA
"7",356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.405,NA,NA,NA,NA,NA,NA,NA,1.074,NA,NA,NA,NA,NA,NA,NA,NA
"8",357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.14,NA,NA,NA,NA,NA,NA,NA,0.517,NA,NA,NA,NA,NA,NA,NA,NA
"9",358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.472,NA,NA,NA,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA,NA,NA,NA
"10",359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.34,NA,NA,NA,NA,NA,NA,NA,0.791,NA,NA,NA,NA,NA,NA,NA,NA
"11",360,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.294,NA,NA,NA,NA,NA,NA,NA,1.117,NA,NA,NA,NA,NA,NA,NA,NA
"12",361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.756,NA,NA,NA,NA,NA,NA,NA,0.828,NA,NA,NA,NA,NA,NA,NA,NA
"13",362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.146,NA,NA,NA,NA,NA,NA,NA,0.624,NA,NA,NA,NA,NA,NA,NA,NA
"14",363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.012,NA,NA,NA,NA,NA,NA,NA,1.33,NA,NA,NA,NA,NA,NA,NA,NA
"15",364,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.854,NA,NA,NA,NA,NA,NA,NA,1.229,NA,NA,NA,NA,NA,NA,NA,NA
"16",365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.191,NA,NA,NA,NA,NA,NA,NA,0.834,NA,NA,NA,NA,NA,NA,NA,NA
"17",366,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.881,NA,NA,NA,NA,NA,NA,NA,1.078,NA,NA,NA,NA,NA,NA,NA,NA
"18",367,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.938,NA,NA,NA,NA,NA,NA,NA,1.341,NA,NA,NA,NA,NA,NA,NA,NA
"19",368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.996,NA,NA,NA,NA,NA,NA,NA,1.083,NA,NA,NA,NA,NA,NA,NA,NA
"20",369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.926,NA,NA,NA,NA,NA,NA,NA,1.067,NA,NA,NA,NA,NA,NA,NA,NA
"21",370,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.161,NA,NA,NA,NA,NA,NA,NA,1.087,NA,NA,NA,NA,NA,NA,NA,NA
"22",371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.445,NA,NA,NA,NA,NA,NA,NA,2.088,NA,NA,NA,NA,NA,NA,NA,NA
"23",372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.729,NA,NA,NA,NA,NA,NA,NA,2.286,NA,NA,NA,NA,NA,NA,NA,NA
"24",373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.688,NA,NA,NA,NA,NA,NA,NA,1.481,NA,NA,NA,NA,NA,NA,NA,NA
"25",374,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.387,NA,NA,NA,NA,NA,NA,NA,2.225,NA,NA,NA,NA,NA,NA,NA,NA
"26",375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.206,NA,NA,NA,NA,NA,NA,NA,1.487,NA,NA,NA,NA,NA,NA,NA,NA
"27",376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.084,NA,NA,NA,NA,NA,NA,NA,0.905,NA,NA,NA,NA,NA,NA,NA,NA
"28",377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.106,NA,NA,NA,NA,NA,NA,NA,0.943,NA,NA,NA,NA,NA,NA,NA,NA
"29",378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.889,NA,NA,NA,NA,NA,NA,NA,1.461,NA,NA,NA,NA,NA,NA,NA,NA
"30",379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.201,NA,NA,NA,NA,NA,NA,NA,1.75,NA,NA,NA,NA,NA,NA,NA,NA
